Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Chandigarh Transport Undertaking (CTU) - 165806,HVAC Seater (2+3),16:35,19:20,02h 45m,INR 181.4,43 Seats available,"4.1
50",https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Ludhiana to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165807,HVAC Seater (2+3),16:59,19:44,02h 45m,INR 181.4,45 Seats available,"4.5
90",https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana,Chandigarh to Ludhiana
Chandigarh Transport Undertaking (CTU) - 165844,HVAC Seater (2+3),16:18,20:48,04h 30m,INR 456.2,44 Seats available,"4.2
138",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165938,HVAC Seater (2+3),20:00,05:45,09h 45m,INR 634.7,47 Seats available,"3.8
242",https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh to Vrindavan
Chandigarh Transport Undertaking (CTU) - 165747,HVAC Seater (2+3),17:12,21:47,04h 35m,INR 308,47 Seats available,"3.6
15",https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
Chandigarh Transport Undertaking (CTU) - 165825,HVAC Seater (2+3),20:08,05:08,09h 00m,INR 611.4,47 Seats available,"4.0
62",https://www.redbus.in/bus-tickets/chandigarh-to-baijnath,Chandigarh to Baijnath
Chandigarh Transport Undertaking (CTU) - 165855,HVAC Seater (2+3),17:00,23:00,06h 00m,INR 542.8,43 Seats available,"4.5
30",https://www.redbus.in/bus-tickets/narnaul-to-chandigarh,Narnaul to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165763,HVAC Seater (2+3),17:00,22:50,05h 50m,INR 433.4,46 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/amritsar-to-chandigarh,Amritsar to Chandigarh
